verbose;wordy, impaired by wordiness;(It took the verbose teacher two hours to explain the topic, while it should have taken only fifteen minutes.)
verdant; green in tint or color;(The verdant leaves on the trees made the world look emerald.);
vestige; a mark or trace of something lost or vanished;(Do you know if the Mexican tortilla is a vestige of some form of Aztec corn-based flat bread?);
vex; to confuse or annoy;(My little brother vexes me by poking me in the ribs for hours on end.);
vicarious; experiencing through another;(All of my lame friends learned to be social through vicarious involvement in my amazing experiences.);
vicissitude; event that occurs by chance;(The vicissitudes of daily life prevent me from predicting what might happen from one day to the next.);
vigilant;watchful, alert;(The guards remained vigilant throughout the night, but the enemy never launched the expected attack.)
vilify;to lower in importance, defame;(After the Watergate scandal, almost any story written about President Nixon sought to vilify him and criticize his behavior.)
vindicate; to avenge;to free from allegation;to set free
vindictive;vengeful;(The vindictive madman seeks to exact vengeance for any insult that he perceives is directed at him, no matter how small.)
virtuoso;one who excels in an art;a highly skilled musical performer
viscous;not free flowing, syrupy;(The viscous syrup took three minutes to pour out of the bottle.)
vitriolic;having a caustic quality;(When angry, the woman would spew vitriolic insults.)
vituperate;to berate;(Jack ran away as soon as his father found out, knowing he would be vituperated for his unseemly behavior.)
vivacious;lively, sprightly;(The vivacious clown makes all of the children laugh and giggle with his friendly antics.)
vocation;the work in which someone is employed, profession;(After growing tired of the superficial world of high-fashion, Edwina decided to devote herself to a new vocation: social work.)
vociferous;loud, boisterous;(I’m tired of his vociferous whining so I’m breaking up with him.)
wallow; to roll oneself indolently;to become or remain helpless;(My roommate can’t get over her breakup with her boyfriend and now just wallows in self-pity.)
wane;to decrease in size, dwindle;(Don’t be so afraid of his wrath because his influence with the president is already beginning to wane.)
wanton;undisciplined, lewd, lustful;(Vicky’s wanton demeanor often made the frat guys next door very excited.)
wily;crafty, sly;(Though they were not the strongest of the Thundercats, wily Kit and Kat were definitely the most clever and full of tricks.)
winsome;charming, pleasing;(After such a long, frustrating day, I was grateful for Chris’s winsome attitude and childish naivete.)
wistful;full of yearning;musingly sad
wizened;dry, shrunken, wrinkled;(Agatha’s grandmother, Stephanie, had the most wizened countenance, full of leathery wrinkles.)
wrath;vengeful anger, punishment;(Did you really want to incur her wrath when she is known for inflicting the worst punishments legally possible?)
whimsical;fanciful, full of whims;(The whimsical little girl liked to pretend that she was an elvin princess.)
yoke;to join, link;(We yoked together the logs by tying a string around them.)
zealous;fervent, filled with eagerness in pursuit of something;(If he were any more zealous about getting his promotion, he’d practically live at the office.)
zenith;the highest point, culminating point;(I was too nice to tell Nelly that she had reached the absolute zenith of her career with that one hit of hers.)
zephyr;a gentle breeze;(If not for the zephyrs that were blowing and cooling us, our room would’ve been unbearably hot.)
